AB ticks;AB time;Temperature, C;Pressure, kPa;Humidity, %;
1746601161;07.05.2025 06:59:21;21,3;7,400;37,5;
1746601191;07.05.2025 06:59:51;21,3;7,400;37,5;
1746601221;07.05.2025 07:00:21;21,3;7,400;37,5;
1746601251;07.05.2025 07:00:51;21,3;7,400;37,5;
1746601281;07.05.2025 07:01:21;21,3;7,400;37,5;
1746601311;07.05.2025 07:01:51;21,3;7,400;37,5;
1746601341;07.05.2025 07:02:21;21,3;7,400;37,5;
1746601371;07.05.2025 07:02:51;21,3;7,400;37,5;
1746601401;07.05.2025 07:03:21;21,3;7,400;37,5;
1746601431;07.05.2025 07:03:51;21,3;7,400;37,5;
1746601461;07.05.2025 07:04:21;21,2;7,400;37,5;
1746601491;07.05.2025 07:04:51;21,2;7,400;37,5;
1746601521;07.05.2025 07:05:21;21,2;7,400;37,5;
1746601551;07.05.2025 07:05:51;21,2;7,400;37,5;
1746601581;07.05.2025 07:06:21;21,2;7,400;37,5;
1746601611;07.05.2025 07:06:51;21,2;7,400;37,5;
1746601641;07.05.2025 07:07:21;21,2;7,400;37,5;
1746601671;07.05.2025 07:07:51;21,2;7,400;37,5;
1746601701;07.05.2025 07:08:21;21,2;7,400;37,5;
1746601731;07.05.2025 07:08:51;21,2;7,400;37,5;
1746601761;07.05.2025 07:09:21;21,2;7,400;37,5;
1746601791;07.05.2025 07:09:51;21,2;7,400;37,5;
1746599510;07.05.2025 06:31:50;21,9;7,400;37,0;
1746599540;07.05.2025 06:32:20;21,9;7,400;37,0;
1746599570;07.05.2025 06:32:50;21,9;7,400;37,0;
1746599600;07.05.2025 06:33:20;21,9;7,400;37,0;
1746599630;07.05.2025 06:33:50;21,9;7,400;37,0;
1746599660;07.05.2025 06:34:20;21,9;7,400;37,0;
1746599690;07.05.2025 06:34:50;21,9;7,400;37,0;
1746599720;07.05.2025 06:35:20;21,8;7,400;37,0;
1746599750;07.05.2025 06:35:50;21,8;7,400;37,0;
1746599780;07.05.2025 06:36:20;21,8;7,400;37,0;
1746599810;07.05.2025 06:36:50;21,8;7,400;37,0;
1746599840;07.05.2025 06:37:20;21,8;7,400;37,0;
1746599870;07.05.2025 06:37:50;21,8;7,400;37,0;
1746599900;07.05.2025 06:38:20;21,8;7,400;37,0;
1746599930;07.05.2025 06:38:50;21,7;7,400;37,0;
1746599960;07.05.2025 06:39:20;21,7;7,400;37,0;
1746599990;07.05.2025 06:39:50;21,8;7,400;37,0;
1746600020;07.05.2025 06:40:20;21,8;7,400;37,0;
1746600050;07.05.2025 06:40:50;21,8;7,400;37,0;
1746600080;07.05.2025 06:41:20;21,7;7,400;37,0;
1746600110;07.05.2025 06:41:50;21,7;7,400;37,0;
1746600140;07.05.2025 06:42:20;21,7;7,400;37,0;
1746600170;07.05.2025 06:42:50;21,7;7,400;37,0;
1746600200;07.05.2025 06:43:20;21,7;7,400;37,0;
1746600230;07.05.2025 06:43:50;21,7;7,400;37,0;
1746600260;07.05.2025 06:44:20;21,7;7,400;37,0;
1746600290;07.05.2025 06:44:50;21,7;7,400;37,0;
1746600320;07.05.2025 06:45:20;21,6;7,400;37,0;
1746600350;07.05.2025 06:45:50;21,6;7,400;37,0;
1746600380;07.05.2025 06:46:20;21,6;7,400;37,0;
1746600410;07.05.2025 06:46:50;21,6;7,400;37,0;
1746600440;07.05.2025 06:47:20;21,6;7,400;37,0;
1746600470;07.05.2025 06:47:50;21,6;7,400;37,0;
1746600500;07.05.2025 06:48:20;21,6;7,400;37,0;
1746600530;07.05.2025 06:48:50;21,6;7,400;37,0;
1746600560;07.05.2025 06:49:20;21,6;7,400;37,0;
1746600590;07.05.2025 06:49:50;21,6;7,400;37,0;
1746600620;07.05.2025 06:50:20;21,5;7,400;37,0;
1746600651;07.05.2025 06:50:51;21,5;7,400;37,0;
1746600681;07.05.2025 06:51:21;21,6;7,400;37,0;
1746600710;07.05.2025 06:51:50;21,6;7,400;37,0;
1746600741;07.05.2025 06:52:21;21,6;7,400;37,0;
1746600771;07.05.2025 06:52:51;21,5;7,400;37,0;
1746600801;07.05.2025 06:53:21;21,5;7,400;37,0;
1746600831;07.05.2025 06:53:51;21,5;7,400;37,0;
1746600861;07.05.2025 06:54:21;21,5;7,400;37,0;
1746600891;07.05.2025 06:54:51;21,5;7,400;37,0;
1746600921;07.05.2025 06:55:21;21,5;7,400;37,0;
1746600951;07.05.2025 06:55:51;21,4;7,400;37,0;
1746600981;07.05.2025 06:56:21;21,4;7,400;37,0;
1746601011;07.05.2025 06:56:51;21,4;7,400;37,0;
1746601041;07.05.2025 06:57:21;21,4;7,400;37,5;
1746601071;07.05.2025 06:57:51;21,4;7,400;37,5;
1746601101;07.05.2025 06:58:21;21,4;7,400;37,5;
1746601131;07.05.2025 06:58:51;21,4;7,400;37,5;
1746597859;07.05.2025 06:04:19;22,4;7,500;37,0;
1746597889;07.05.2025 06:04:49;22,4;7,500;37,0;
1746597919;07.05.2025 06:05:19;22,4;7,500;37,0;
1746597949;07.05.2025 06:05:49;22,3;7,500;37,0;
1746597979;07.05.2025 06:06:19;22,3;7,500;37,0;
1746598009;07.05.2025 06:06:49;22,3;7,500;37,0;
1746598039;07.05.2025 06:07:19;22,3;7,500;37,0;
1746598069;07.05.2025 06:07:49;22,3;7,500;37,0;
1746598099;07.05.2025 06:08:19;22,3;7,500;37,0;
1746598129;07.05.2025 06:08:49;22,3;7,500;37,0;
1746598159;07.05.2025 06:09:19;22,3;7,500;37,0;
1746598189;07.05.2025 06:09:49;22,2;7,500;37,0;
1746598219;07.05.2025 06:10:19;22,2;7,500;37,0;
1746598249;07.05.2025 06:10:49;22,2;7,500;37,0;
1746598279;07.05.2025 06:11:19;22,2;7,500;37,0;
1746598309;07.05.2025 06:11:49;22,2;7,500;37,0;
1746598339;07.05.2025 06:12:19;22,2;7,500;37,0;
1746598369;07.05.2025 06:12:49;22,2;7,500;37,0;
1746598399;07.05.2025 06:13:19;22,2;7,500;37,0;
1746598429;07.05.2025 06:13:49;22,2;7,500;37,0;
1746598459;07.05.2025 06:14:19;22,2;7,400;37,0;
1746598489;07.05.2025 06:14:49;22,2;7,400;37,0;
1746598519;07.05.2025 06:15:19;22,2;7,400;37,0;
1746598549;07.05.2025 06:15:49;22,1;7,400;37,0;
1746598579;07.05.2025 06:16:19;22,1;7,400;37,0;
1746598609;07.05.2025 06:16:49;22,1;7,400;37,0;
1746598639;07.05.2025 06:17:19;22,1;7,400;37,0;
1746598669;07.05.2025 06:17:49;22,1;7,400;37,0;
1746598699;07.05.2025 06:18:19;22,1;7,400;37,0;
1746598729;07.05.2025 06:18:49;22,1;7,400;37,0;
1746598759;07.05.2025 06:19:19;22,1;7,400;37,0;
1746598789;07.05.2025 06:19:49;22,1;7,400;37,0;
1746598819;07.05.2025 06:20:19;22,1;7,400;37,0;
1746598849;07.05.2025 06:20:49;22,1;7,400;37,0;
1746598879;07.05.2025 06:21:19;22,0;7,400;37,0;
1746598909;07.05.2025 06:21:49;22,0;7,400;37,0;
1746598939;07.05.2025 06:22:19;22,0;7,400;37,0;
1746598969;07.05.2025 06:22:49;22,1;7,400;37,0;
1746598999;07.05.2025 06:23:19;22,1;7,400;37,0;
1746599029;07.05.2025 06:23:49;22,1;7,400;37,0;
1746599059;07.05.2025 06:24:19;22,1;7,400;37,0;
1746599089;07.05.2025 06:24:49;22,1;7,400;37,0;
1746599119;07.05.2025 06:25:19;22,1;7,400;37,0;
1746599150;07.05.2025 06:25:50;22,1;7,400;37,0;
1746599180;07.05.2025 06:26:20;22,1;7,400;37,0;
1746599209;07.05.2025 06:26:49;22,1;7,400;37,0;
1746599240;07.05.2025 06:27:20;22,1;7,400;37,0;
1746599270;07.05.2025 06:27:50;22,1;7,400;37,0;
1746599300;07.05.2025 06:28:20;22,1;7,400;37,0;
1746599330;07.05.2025 06:28:50;22,1;7,400;37,0;
1746599360;07.05.2025 06:29:20;22,1;7,400;37,0;
1746599390;07.05.2025 06:29:50;22,0;7,400;37,0;
1746599420;07.05.2025 06:30:20;22,0;7,400;37,0;
1746599450;07.05.2025 06:30:50;22,0;7,400;37,0;
1746599480;07.05.2025 06:31:20;22,0;7,400;37,0;
1746596210;07.05.2025 05:36:50;26,2;7,600;32,0;
1746596239;07.05.2025 05:37:19;26,3;7,600;32,0;
1746596269;07.05.2025 05:37:49;26,2;7,600;32,0;
1746596299;07.05.2025 05:38:19;26,1;7,600;32,0;
1746596329;07.05.2025 05:38:49;25,9;7,600;32,5;
1746596359;07.05.2025 05:39:19;25,8;7,500;32,5;
1746596389;07.05.2025 05:39:49;25,6;7,600;33,0;
1746596419;07.05.2025 05:40:19;25,4;7,500;33,0;
1746596449;07.05.2025 05:40:49;25,2;7,500;33,5;
1746596479;07.05.2025 05:41:19;25,1;7,500;33,5;
1746596509;07.05.2025 05:41:49;24,9;7,500;34,0;
1746596539;07.05.2025 05:42:19;24,7;7,500;34,0;
1746596569;07.05.2025 05:42:49;24,6;7,500;34,0;
1746596599;07.05.2025 05:43:19;24,5;7,500;34,5;
1746596629;07.05.2025 05:43:49;24,4;7,500;34,5;
1746596659;07.05.2025 05:44:19;24,2;7,500;34,5;
1746596689;07.05.2025 05:44:49;24,1;7,500;35,0;
1746596719;07.05.2025 05:45:19;24,0;7,500;35,0;
1746596749;07.05.2025 05:45:49;23,9;7,500;35,0;
1746596779;07.05.2025 05:46:19;23,8;7,500;35,0;
1746596809;07.05.2025 05:46:49;23,8;7,500;35,5;
1746596839;07.05.2025 05:47:19;23,7;7,500;35,5;
1746596869;07.05.2025 05:47:49;23,6;7,500;35,5;
1746596899;07.05.2025 05:48:19;23,5;7,500;35,5;
1746596929;07.05.2025 05:48:49;23,5;7,500;35,5;
1746596959;07.05.2025 05:49:19;23,4;7,500;36,0;
1746596989;07.05.2025 05:49:49;23,3;7,500;36,0;
1746597019;07.05.2025 05:50:19;23,3;7,500;36,0;
1746597049;07.05.2025 05:50:49;23,2;7,500;36,0;
1746597079;07.05.2025 05:51:19;23,2;7,500;36,0;
1746597109;07.05.2025 05:51:49;23,1;7,500;36,0;
1746597139;07.05.2025 05:52:19;23,1;7,500;36,0;
1746597169;07.05.2025 05:52:49;23,0;7,500;36,5;
1746597199;07.05.2025 05:53:19;23,0;7,500;36,5;
1746597229;07.05.2025 05:53:49;22,9;7,500;36,5;
1746597259;07.05.2025 05:54:19;22,9;7,500;36,5;
1746597289;07.05.2025 05:54:49;22,9;7,500;36,5;
1746597319;07.05.2025 05:55:19;22,8;7,500;36,5;
1746597349;07.05.2025 05:55:49;22,8;7,500;36,5;
1746597379;07.05.2025 05:56:19;22,8;7,500;36,5;
1746597409;07.05.2025 05:56:49;22,7;7,500;36,5;
1746597439;07.05.2025 05:57:19;22,7;7,500;36,5;
1746597469;07.05.2025 05:57:49;22,7;7,500;36,5;
1746597499;07.05.2025 05:58:19;22,7;7,500;36,5;
1746597529;07.05.2025 05:58:49;22,6;7,500;36,5;
1746597559;07.05.2025 05:59:19;22,6;7,500;36,5;
1746597589;07.05.2025 05:59:49;22,6;7,500;37,0;
1746597619;07.05.2025 06:00:19;22,6;7,500;37,0;
1746597649;07.05.2025 06:00:49;22,5;7,500;37,0;
1746597679;07.05.2025 06:01:19;22,5;7,500;37,0;
1746597709;07.05.2025 06:01:49;22,5;7,500;37,0;
1746597739;07.05.2025 06:02:19;22,5;7,500;37,0;
1746597769;07.05.2025 06:02:49;22,4;7,500;37,0;
1746597799;07.05.2025 06:03:19;22,4;7,500;37,0;
1746597829;07.05.2025 06:03:49;22,4;7,500;37,0;
