AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1746536156;06.05.2025 12:55:56;02;26484;82500;82500;3604;3599;5;-67;51;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536216;06.05.2025 12:56:56;02;26483;82500;82500;3604;3599;5;-68;52;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536276;06.05.2025 12:57:56;02;26483;82500;82500;3604;3599;5;-68;53;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536335;06.05.2025 12:58:55;02;26481;82500;82500;3604;3599;5;-68;54;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536395;06.05.2025 12:59:55;02;26480;82500;82500;3604;3599;5;-66;55;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536455;06.05.2025 13:00:55;02;26479;82500;82500;3604;3599;5;-67;56;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535615;06.05.2025 12:46:55;02;26494;82500;82500;3604;3599;5;-64;41;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535675;06.05.2025 12:47:55;02;26493;82500;82500;3604;3599;5;-64;43;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535735;06.05.2025 12:48:55;02;26491;82500;82500;3604;3599;5;-65;44;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535795;06.05.2025 12:49:55;02;26491;82500;82500;3604;3599;5;-66;45;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535855;06.05.2025 12:50:55;02;26490;82500;82500;3604;3599;5;-66;46;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535915;06.05.2025 12:51:55;02;26489;82500;82500;3604;3599;5;-66;47;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535975;06.05.2025 12:52:55;02;26488;82500;82500;3604;3599;5;-67;48;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536035;06.05.2025 12:53:55;02;26486;82500;82500;3604;3599;5;-64;49;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746536096;06.05.2025 12:54:56;02;26485;82500;82500;3604;3599;5;-66;50;22,2;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535076;06.05.2025 12:37:56;02;26505;82500;82500;3604;3599;5;-68;32;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535136;06.05.2025 12:38:56;02;26504;82500;82500;3604;3599;5;-68;33;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535196;06.05.2025 12:39:56;02;26503;82500;82500;3604;3599;5;-68;34;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535256;06.05.2025 12:40:56;02;26501;82500;82500;3604;3599;5;-67;35;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535316;06.05.2025 12:41:56;02;26500;82500;82500;3604;3599;5;-67;36;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535376;06.05.2025 12:42:56;02;26499;82500;82500;3604;3599;5;-68;37;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535436;06.05.2025 12:43:56;02;26498;82500;82500;3604;3599;5;-78;38;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535496;06.05.2025 12:44:56;02;26496;82500;82500;3604;3599;5;-65;39;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746535556;06.05.2025 12:45:56;02;26495;82500;82500;3604;3599;5;-64;40;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746534537;06.05.2025 12:28:57;02;26515;82500;82500;3604;3599;5;-72;23;22,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746534597;06.05.2025 12:29:57;02;26514;82500;82500;3604;3599;5;-75;24;22,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1746534657;06.05.2025 12:30:57;02;26513;82500;82500;3604;3599;5;-75;25;22,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
