AB ticks;AB time;Status, hex;Calibration, hex;Temperature HDC1080, C;Humidity HDC1080, %;Temperature DPS310, C;Pressure DPS310, kPa;Rotation code RAW;Azimuth RAW, deg.;Pitch RAW, deg.;Roll RAW, deg.;Azimuth, deg.;Pitch, deg.;Roll, deg.;CC0;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;CC15;CC16;CC17;XYZmagn0;XYZmagn1;XYZmagn2;XYZmagn3;XYZmagn4;XYZmagn5;XYZmagn6;XYZmagn7;XYZmagn8;XYZmagn9;XYZmagn10;XYZmagn11;XYZaxs0;XYZaxs1;XYZaxs2;XYZaxs3;XYZaxs4;XYZaxs5;XYZmagnOffs0;XYZmagnOffs1;XYZmagnOffs2;XYZmagnOffs3;XYZmagnOffs4;XYZmagnOffs5;XYZmagnOffs6;XYZmagnOffs7;XYZmagnOffs8;XYZmagnOffs9;XYZmagnOffs10;XYZmagnOffs11;XYZaxsOffs0;XYZaxsOffs1;XYZaxsOffs2;XYZaxsOffs3;XYZaxsOffs4;XYZaxsOffs5;FWver, hex
1746533091;06.05.2025 12:04;0;10;0;0;28,6;0;0;179;-0,6;0,8;179;-0,6;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;236;255;255;107;0;0;0;118;255;255;255;4;0;6;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533097;06.05.2025 12:04;0;10;0;0;28,6;0;0;180;-0,7;0,9;180;-0,7;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;236;255;255;5;0;0;0;74;255;255;255;4;0;6;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533107;06.05.2025 12:05;0;10;0;0;28,6;0;0;180;-0,7;0,8;180;-0,7;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;237;255;255;31;0;0;0;253;254;255;255;4;0;5;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533127;06.05.2025 12:05;0;10;0;0;28,6;0;0;179;-0,6;0,8;179;-0,6;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;237;255;255;107;0;0;0;205;255;255;255;3;0;4;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533147;06.05.2025 12:05;0;10;0;0;28,6;0;0;179;-0,7;0,9;179;-0,7;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;237;255;255;108;0;0;0;207;255;255;255;3;0;6;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533167;06.05.2025 12:06;0;10;0;0;28,6;0;0;179;-0,7;0,8;179;-0,7;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;237;255;255;109;0;0;0;205;255;255;255;4;0;5;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533187;06.05.2025 12:06;0;10;0;0;28,6;0;0;179;-0,5;0,9;179;-0,5;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;237;255;255;109;0;0;0;205;255;255;255;6;0;5;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533207;06.05.2025 12:06;0;10;0;0;28,6;0;0;179;-0,7;0,7;179;-0,7;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;237;255;255;108;0;0;0;204;255;255;255;4;0;5;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533228;06.05.2025 12:07;0;10;0;0;28,6;0;0;179;-0,6;0,8;179;-0,6;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;237;255;255;109;0;0;0;206;255;255;255;4;0;5;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
1746533248;06.05.2025 12:07;0;10;0;0;28,6;0;0;179;-0,6;0,8;179;-0,6;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;237;255;255;108;0;0;0;205;255;255;255;4;0;6;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;2;0;0x09
