AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1746520115;06.05.2025 08:28:35;02;24749;82500;82500;3584;3584;0;-66;36;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520174;06.05.2025 08:29:34;02;24748;82500;82500;3584;3584;0;-65;37;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520235;06.05.2025 08:30:35;02;24746;82500;82500;3584;3579;5;-65;38;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520296;06.05.2025 08:31:36;02;24745;82500;82500;3584;3584;0;-66;39;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520356;06.05.2025 08:32:36;02;24745;82500;82500;3584;3584;0;-65;40;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520416;06.05.2025 08:33:36;02;24744;82500;82500;3584;3584;0;-67;41;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520475;06.05.2025 08:34:35;02;24743;82500;82500;3584;3584;0;-68;42;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520535;06.05.2025 08:35:35;02;24741;82500;82500;3584;3579;5;-68;43;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746520596;06.05.2025 08:36:36;02;24740;82500;82500;3584;3584;0;-67;44;21,3;00;00;00;00;00;0;0;0;00;04;00;29;0x0C;
1746519573;06.05.2025 08:19:33;02;24759;82500;82500;3584;3584;0;-67;26;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519633;06.05.2025 08:20:33;02;24758;82500;82500;3584;3579;5;-94;27;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519694;06.05.2025 08:21:34;02;24756;82500;82500;3584;3584;0;-69;28;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519754;06.05.2025 08:22:34;02;24755;82500;82500;3584;3584;0;-66;30;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519814;06.05.2025 08:23:34;02;24754;82500;82500;3584;3584;0;-66;31;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519874;06.05.2025 08:24:34;02;24753;82500;82500;3584;3584;0;-67;32;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519934;06.05.2025 08:25:34;02;24753;82500;82500;3584;3584;0;-66;33;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519995;06.05.2025 08:26:35;02;24751;82500;82500;3584;3584;0;-67;34;21,5;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746520054;06.05.2025 08:27:34;02;24750;82500;82500;3584;3584;0;-66;35;21,3;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519032;06.05.2025 08:10:32;02;24769;82500;82500;3584;3584;0;-71;17;22,0;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519092;06.05.2025 08:11:32;02;24769;82500;82500;3584;3584;0;-72;18;21,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519152;06.05.2025 08:12:32;02;24768;82500;82500;3584;3584;0;-72;19;21,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519212;06.05.2025 08:13:32;02;24766;82500;82500;3584;3584;0;-72;20;21,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519272;06.05.2025 08:14:32;02;24765;82500;82500;3584;3584;0;-72;21;21,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519332;06.05.2025 08:15:32;02;24764;82500;82500;3584;3584;0;-67;22;21,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519392;06.05.2025 08:16:32;02;24763;82500;82500;3584;3584;0;-67;23;21,7;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519453;06.05.2025 08:17:33;02;24761;82500;82500;3584;3584;0;-67;24;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746519513;06.05.2025 08:18:33;02;24760;82500;82500;3584;3584;0;-75;25;21,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518491;06.05.2025 08:01:31;02;24780;82500;82500;3589;3584;5;-62;8;22,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518551;06.05.2025 08:02:31;02;24779;82500;82500;3584;3584;0;-61;9;22,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518611;06.05.2025 08:03:31;02;24778;82500;82500;3584;3584;0;-89;10;22,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518671;06.05.2025 08:04:31;02;24776;82500;82500;3589;3584;5;-64;11;22,3;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518731;06.05.2025 08:05:31;02;24775;82500;82500;3584;3584;0;-64;12;22,3;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518791;06.05.2025 08:06:31;02;24774;82500;82500;3584;3584;0;-65;13;22,2;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518851;06.05.2025 08:07:31;02;24773;82500;82500;3584;3584;0;-64;14;22,1;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518911;06.05.2025 08:08:31;02;24771;82500;82500;3584;3579;5;-93;15;22,1;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518972;06.05.2025 08:09:32;02;24770;82500;82500;3584;3584;0;-71;16;22,1;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746517951;06.05.2025 07:52:31;02;24731;82500;82500;3848;3770;78;4981;935;27,6;00;00;00;00;01;0;0;0;02;05;00;29;0x0C;
1746518011;06.05.2025 07:53:31;02;24789;82500;82500;3594;3584;10;-67;0;27,3;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518071;06.05.2025 07:54:31;02;24788;82500;82500;3589;3584;5;-62;1;26,0;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518131;06.05.2025 07:55:31;02;24786;82500;82500;3589;3584;5;-64;2;25,1;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518191;06.05.2025 07:56:31;02;24785;82500;82500;3589;3584;5;-62;3;24,3;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518251;06.05.2025 07:57:31;02;24784;82500;82500;3589;3584;5;-63;4;23,8;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518311;06.05.2025 07:58:31;02;24783;82500;82500;3589;3584;5;-62;5;23,6;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518371;06.05.2025 07:59:31;02;24783;82500;82500;3589;3584;5;-62;6;23,2;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
1746518431;06.05.2025 08:00:31;02;24781;82500;82500;3589;3584;5;-61;7;23,0;00;00;00;00;00;0;0;0;00;04;00;30;0x0C;
