AB ticks;AB time;Status, hex;Calibration, hex;Temperature HDC1080, C;Humidity HDC1080, %;Temperature DPS310, C;Pressure DPS310, kPa;Rotation code RAW;Azimuth RAW, deg.;Pitch RAW, deg.;Roll RAW, deg.;Azimuth, deg.;Pitch, deg.;Roll, deg.;CC0;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;CC15;CC16;CC17;XYZmagn0;XYZmagn1;XYZmagn2;XYZmagn3;XYZmagn4;XYZmagn5;XYZmagn6;XYZmagn7;XYZmagn8;XYZmagn9;XYZmagn10;XYZmagn11;XYZaxs0;XYZaxs1;XYZaxs2;XYZaxs3;XYZaxs4;XYZaxs5;XYZmagnOffs0;XYZmagnOffs1;XYZmagnOffs2;XYZmagnOffs3;XYZmagnOffs4;XYZmagnOffs5;XYZmagnOffs6;XYZmagnOffs7;XYZmagnOffs8;XYZmagnOffs9;XYZmagnOffs10;XYZmagnOffs11;XYZaxsOffs0;XYZaxsOffs1;XYZaxsOffs2;XYZaxsOffs3;XYZaxsOffs4;XYZaxsOffs5;FWver, hex
1747993276;23.05.2025 9:41;0;10;0;0;28,6;0;0;168;-1,3;0,5;168;-1,3;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184;237;255;255;238;3;0;0;207;2;0;0;9;0;2;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993296;23.05.2025 9:41;0;10;0;0;28,6;0;0;168;-1,3;0,5;168;-1,3;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;237;255;255;239;3;0;0;208;2;0;0;8;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993317;23.05.2025 9:41;0;10;0;0;28,6;0;0;168;-0,8;0,3;168;-0,8;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;237;255;255;238;3;0;0;208;2;0;0;8;0;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993336;23.05.2025 9:42;0;10;0;0;28,6;0;0;169;-1,2;0,6;169;-1,2;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;237;255;255;146;3;0;0;158;2;0;0;6;0;5;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993342;23.05.2025 9:42;0;10;0;0;28,6;0;0;169;-1,4;0,3;169;-1,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;237;255;255;147;3;0;0;159;2;0;0;8;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993352;23.05.2025 9:42;0;10;0;0;28,6;0;0;164;-1,2;0,3;164;-1,2;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;235;255;255;254;5;0;0;129;2;0;0;9;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993372;23.05.2025 9:42;0;10;0;0;28,6;0;0;164;-1,1;0,4;164;-1,1;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;235;255;255;229;5;0;0;125;2;0;0;9;0;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993392;23.05.2025 9:43;0;10;0;0;28,6;0;0;164;-1,1;0,2;164;-1,1;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;235;255;255;229;5;0;0;130;2;0;0;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993412;23.05.2025 9:43;0;10;0;0;28,6;0;0;160;-0,3;-0,5;160;-0,3;-0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;236;255;255;18;7;0;0;116;2;0;0;1;0;255;255;5;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993432;23.05.2025 9:43;0;10;0;0;28,6;0;0;151;-0,3;0,2;151;-0,3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;239;255;255;48;9;0;0;33;5;0;0;1;0;255;255;2;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993453;23.05.2025 9:44;0;10;0;0;28,6;0;0;151;-0,6;0,3;151;-0,6;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;239;255;255;38;9;0;0;24;5;0;0;5;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993473;23.05.2025 9:44;0;10;0;0;28,6;0;0;151;-0,4;0,2;151;-0,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;239;255;255;40;9;0;0;28;5;0;0;6;0;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993493;23.05.2025 9:44;0;10;0;0;28,6;0;0;151;-0,3;0,1;151;-0,3;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;239;255;255;40;9;0;0;29;5;0;0;4;0;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993513;23.05.2025 9:45;0;10;0;0;28,6;0;0;151;-0,5;0,3;151;-0,5;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;239;255;255;41;9;0;0;32;5;0;0;4;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993533;23.05.2025 9:45;0;10;0;0;28,6;0;0;151;-0,2;0,2;151;-0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;239;255;255;31;9;0;0;20;5;0;0;6;0;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993553;23.05.2025 9:45;0;10;0;0;28,6;0;0;151;-0,4;0,3;151;-0,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;239;255;255;34;9;0;0;19;5;0;0;4;0;3;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993573;23.05.2025 9:46;0;10;0;0;28,6;0;0;151;-0,2;0,3;151;-0,2;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;239;255;255;31;9;0;0;22;5;0;0;5;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993593;23.05.2025 9:46;0;10;0;0;28,6;0;0;151;-0,3;0,3;151;-0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;239;255;255;31;9;0;0;249;4;0;0;5;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993599;23.05.2025 9:46;0;10;0;0;28,6;0;0;151;-0,5;0,2;151;-0,5;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;239;255;255;32;9;0;0;22;5;0;0;4;0;4;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993609;23.05.2025 9:46;0;20;0;0;28,6;0;0;151;-0,5;0,2;151;-0,5;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;239;255;255;32;9;0;0;22;5;0;0;4;0;4;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;0;0;2;0;0x09
1747993629;23.05.2025 9:47;0;20;0;0;28,6;0;0;151;-0,4;0,4;151;-0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;239;255;255;32;9;0;0;22;5;0;0;4;0;2;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993649;23.05.2025 9:47;0;20;0;0;28,6;0;0;151;-0,3;0,1;151;-0,3;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;239;255;255;32;9;0;0;22;5;0;0;4;0;4;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993669;23.05.2025 9:47;0;20;0;0;28,6;0;0;152;-0,4;0,3;152;-0,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;239;255;255;1;9;0;0;253;4;0;0;2;0;4;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993675;23.05.2025 9:47;0;20;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993685;23.05.2025 9:48;0;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993705;23.05.2025 9:48;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993725;23.05.2025 9:48;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993745;23.05.2025 9:49;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993765;23.05.2025 9:49;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993785;23.05.2025 9:49;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993805;23.05.2025 9:50;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993825;23.05.2025 9:50;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993846;23.05.2025 9:50;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993866;23.05.2025 9:51;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993886;23.05.2025 9:51;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747993906;23.05.2025 9:51;1;21;0;0;28,6;0;0;156;-0,3;0,4;156;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;238;255;255;182;7;0;0;17;5;0;0;5;0;5;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
