AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1746526876;06.05.2025 10:21:16;02;18098;82500;82500;3491;3491;0;-65;105;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746526936;06.05.2025 10:22:16;02;18096;82500;82500;3491;3491;0;-67;106;20,1;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746526996;06.05.2025 10:23:16;02;18095;82500;82500;3491;3491;0;-66;107;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746527056;06.05.2025 10:24:16;02;18094;82500;82500;3491;3491;0;-65;108;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746527117;06.05.2025 10:25:17;02;18093;82500;82500;3491;3491;0;-64;109;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746527177;06.05.2025 10:26:17;02;18091;82500;82500;3491;3491;0;-64;110;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746527237;06.05.2025 10:27:17;02;18091;82500;82500;3491;3491;0;-64;111;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746527297;06.05.2025 10:28:17;02;18090;82500;82500;3491;3491;0;-65;113;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746526335;06.05.2025 10:12:15;02;18108;82500;82500;3491;3491;0;-68;96;20,2;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
1746526395;06.05.2025 10:13:15;02;18106;82500;82500;3491;3491;0;-67;97;20,1;00;00;00;00;00;0;0;0;00;04;00;21;0x0C;
