AB ticks;AB time;Status, hex;Calibration, hex;Temperature HDC1080, C;Humidity HDC1080, %;Temperature DPS310, C;Pressure DPS310, kPa;Rotation code RAW;Azimuth RAW, deg.;Pitch RAW, deg.;Roll RAW, deg.;Azimuth, deg.;Pitch, deg.;Roll, deg.;CC0;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;CC15;CC16;CC17;XYZmagn0;XYZmagn1;XYZmagn2;XYZmagn3;XYZmagn4;XYZmagn5;XYZmagn6;XYZmagn7;XYZmagn8;XYZmagn9;XYZmagn10;XYZmagn11;XYZaxs0;XYZaxs1;XYZaxs2;XYZaxs3;XYZaxs4;XYZaxs5;XYZmagnOffs0;XYZmagnOffs1;XYZmagnOffs2;XYZmagnOffs3;XYZmagnOffs4;XYZmagnOffs5;XYZmagnOffs6;XYZmagnOffs7;XYZmagnOffs8;XYZmagnOffs9;XYZmagnOffs10;XYZmagnOffs11;XYZaxsOffs0;XYZaxsOffs1;XYZaxsOffs2;XYZaxsOffs3;XYZaxsOffs4;XYZaxsOffs5;FWver, hex
1746530014;06.05.2025 11:13;0;20;0;0;28,6;0;0;159;-0,5;0,5;159;-0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;240;255;255;248;5;0;0;19;243;255;255;4;0;4;0;7;1;226;255;255;255;21;0;0;0;231;247;255;255;1;0;0;0;3;0;0x09
1746530029;06.05.2025 11:13;0;10;0;0;28,6;0;0;159;-0,4;0,3;159;-0,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;240;255;255;252;5;0;0;18;243;255;255;3;0;4;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530050;06.05.2025 11:14;0;10;0;0;28,6;0;0;159;-0,3;0,3;159;-0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;240;255;255;249;5;0;0;20;243;255;255;4;0;4;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530069;06.05.2025 11:14;0;10;0;0;28,6;0;0;159;-0,4;0,5;159;-0,4;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;240;255;255;250;5;0;0;18;243;255;255;3;0;5;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530075;06.05.2025 11:14;0;10;0;0;28,6;0;0;159;-0,4;0,3;159;-0,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;240;255;255;251;5;0;0;20;243;255;255;4;0;5;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530085;06.05.2025 11:14;0;10;0;0;28,6;0;0;158;-0,3;0,5;158;-0,3;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;240;255;255;8;6;0;0;20;243;255;255;5;0;4;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530105;06.05.2025 11:15;0;10;0;0;28,6;0;0;155;-0,5;0,1;155;-0,5;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254;237;255;255;86;8;0;0;33;243;255;255;4;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530110;06.05.2025 11:15;0;10;0;0;28,6;0;0;155;-0,6;0,3;155;-0,6;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;237;255;255;85;8;0;0;33;243;255;255;3;0;3;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530120;06.05.2025 11:15;0;10;0;0;28,6;0;0;155;-0,6;0,3;155;-0,6;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;238;255;255;85;8;0;0;30;243;255;255;0;0;254;255;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530141;06.05.2025 11:15;0;10;0;0;28,6;0;0;155;-0,4;0,2;155;-0,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;237;255;255;145;8;0;0;47;243;255;255;4;0;3;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530161;06.05.2025 11:16;0;10;0;0;28,6;0;0;159;0,3;-0,7;159;0,3;-0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;238;255;255;210;6;0;0;232;242;255;255;250;255;248;255;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
1746530181;06.05.2025 11:16;0;10;0;0;28,6;0;0;158;-0,6;1,3;158;-0,6;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;239;255;255;104;6;0;0;195;242;255;255;0;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0x09
